t_state,t_county,ordinance,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
MI,Missaukee,0,10,20.75,94.16666666666667,92.29166666666667,6690.199166666667,140.3375,-85.30044491666666,44.18347216666667
MI,Osceola,0,10,20.5,96.0,92.6,6734.63,142.34,-85.2612332,44.1581512
MI,Saginaw,0,75,120.0,80.0,90.0,6420.631428571428,125.07142857142857,-83.72602185714285,43.47496614285715
MI,Sanilac,0,70,122.0,95.28571428571429,100.0,7853.98,145.35714285714286,-82.74695305714286,43.636072014285716
MI,Tuscola,0,237,433.78,84.50410335357095,104.43285576500197,8612.425820302804,136.80560562003382,-83.55216612988075,43.54812824630347
MN,Becker,0,32,48.0,80.0,82.5,5345.62,121.3,-96.16693900000001,46.7359425
MN,Chippewa,1,18,44.6,88.82352941176471,116.0,10568.32,146.9235294117647,-95.57026852941176,44.85781352941177
MN,Clay,1,37,51.48,77.43243243243244,77.75675675675676,4861.723783783784,116.34594594594596,-96.28448727387388,46.74562436756757
MN,Cottonwood,1,143,278.25,78.46853146853147,102.32167832167832,8375.794895104895,129.64475524475526,-94.98433298324316,43.90326052447553
MN,Dakota,0,1,2.5,80.0,96.0,7238.23,128.0,-93.048073,44.728298
MN,Dodge,0,124,222.8,89.92525570416994,91.64437450826121,6833.835169158144,135.81675845790716,-92.82607845948074,43.888201914634145
MN,Faribault,0,22,41.0,87.81818181818181,91.0,6631.115454545455,133.23636363636365,-94.20620618181819,43.629349409090906
MN,Freeborn,1,145,252.20000000000002,80.0,88.0,6232.184965517242,123.98482758620689,-93.42016243505748,43.7279321408046
MN,Grant,0,10,20.0,79.0,88.0,6082.12,123.1,-95.89735040000001,45.8079831
MN,Jackson,0,458,808.6,79.83842794759825,89.23580786026201,6404.276004366812,124.50480349344977,-95.01187275298021,43.7357617934663
MN,Kandiyohi,1,2,4.0,80.0,80.0,5026.55,120.1,-95.0074615,45.158009
MN,Lincoln,0,407,762.59,79.0,103.52110788474425,8775.298872012509,130.74190306008487,-96.3029844615442,44.42942222703696
MN,Lyon,1,9,18.9,79.0,88.0,6082.12,123.09999999999998,-95.815757,44.32869177777778
MN,Martin,1,131,259.3,79.8473282442748,92.54198473282443,6738.937709923664,126.12137404580152,-94.8297604538168,43.7591808626291
MN,Meeker,0,24,39.6,80.0,85.5,5741.46,122.8,-94.73338408333332,44.991542458333335
MN,Mower,0,346,612.4,84.10115606936417,88.41907514450867,6255.268595375722,128.39231213872833,-92.68571947539044,43.71091688401747
MN,Murray,1,304,474.89,77.90625,76.70230263157895,4718.667401315789,116.3125,-96.00022198642036,43.965895492268324
MN,Nobles,1,370,699.0,80.94189189189188,88.27342342342342,6530.714162162161,125.15459459459458,-95.84730633752253,43.76198349878378
MN,Pipestone,1,182,337.18,77.38431013431014,91.22893772893774,6929.408043345544,123.07295482295483,-96.129582352442,44.078953484310134
MN,Redwood,1,2,3.3,70.0,82.0,5281.02,110.9,-95.175896,44.5030425
MN,Rice,0,2,3.3,80.0,82.125,5297.17,121.075,-93.1566355,44.463125000000005
