t_state,t_county,eia_id,p_year,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat,ordinance
CO,Jefferson,57693,2011,6,7.1,83.33333333333333,91.66666666666667,6686.096666666667,129.16666666666666,-105.223292,39.907734000000005,1
CO,Kit Carson,57244,2010,34,51.0,80.0,77.0,4656.63,118.6,-102.32884620588234,39.36791664705883,0
CO,Kit Carson,59975,2015,88,149.6,80.0,100.0,7853.9800000000005,130.1,-102.14291727586206,39.36857622988506,0
CO,Kit Carson,60619,2018,200,400.0,80.0,110.0,9503.32,135.0,-103.14560009677419,39.08419661290323,0
CO,Kit Carson,62489,2021,25,104.0,105.0,150.0,17671.46,180.1,-102.8369743,39.06724015,0
CO,Kit Carson,62952,2020,228,496.4,80.0,118.94736842105263,11119.581578947367,139.3842105263158,-102.18666289473684,39.066648842105266,0
CO,Kit Carson,63803,2020,108,299.36,88.16666666666667,125.98148148148148,12473.30388888889,151.07592592592593,-103.01715875925926,39.088542027777784,0
CO,Las Animas,60143,2016,34,60.86,80.0,100.0,7853.98,130.1,-104.49979884615384,37.656784153846154,0
CO,Las Animas,62445,2019,27,59.4,80.0,120.0,11309.73,139.9,-104.4041199,37.7643573,0
CO,Lincoln,57315,2011,139,250.2,80.0,90.0,6361.7300000000005,125.0,-103.64639001886792,39.465251330188686,1
CO,Lincoln,58126,2012,125,200.0,80.0,99.875,7835.621346153846,130.03557692307692,-103.61701630769231,39.400882528846154,1
CO,Lincoln,58127,2012,125,200.0,80.0,87.104,5959.9544000000005,123.45360000000001,-103.564966288,39.3348188,1
CO,Lincoln,59083,2014,118,200.6,85.0,100.0,7853.98,135.0,-103.39627527966101,39.354389305084744,1
CO,Lincoln,60619,2018,200,400.0,80.0,110.0,9503.32,135.0,-103.19527132352941,39.095674073529416,1
CO,Logan,55741,2001,33,29.7,72.0,52.0,2123.72,98.1,-103.16094363636363,40.944123545454545,0
CO,Logan,56320,2006,40,60.0,80.0,77.0,4656.63,118.6,-103.019960575,40.963055600000004,0
CO,Logan,56563,2007,133,212.8,80.0,91.0,6503.88,125.6,-103.39723472180451,40.97502892481203,0
CO,Logan,56613,2007,267,400.5,80.0,77.0,4656.63,118.6,-103.24778068656715,40.9489787761194,0
CO,Logan,57174,2013,42,67.2,81.25,100.0,7853.9800000000005,131.325,-102.7623100357143,40.740609267857145,0
